,검색일자,국가,대륙,모바일검색량,PC검색량,총검색량
459,2021-07,쿠바,아메리카,46,488,534
460,2021-07,태국,아시아,2741,10652,13393
461,2021-07,터키,유럽,289,2343,2632
462,2021-07,팔라우,오세아니아,96,6022,6118
463,2021-07,필리핀,아시아,365,1578,1943
464,2021-08,그리스,유럽,178,1645,1823
465,2021-08,대만,아시아,2187,8888,11075
466,2021-08,모로코,아프리카,298,6951,7249
467,2021-08,몽골,아시아,19,266,285
468,2021-08,미국,아메리카,7276,33038,40314
469,2021-08,미국,오세아니아,7209,29738,36947
470,2021-08,베트남,아시아,818,3829,4647
471,2021-08,브라질,아메리카,30,269,299
472,2021-08,스위스,유럽,2248,11388,13636
473,2021-08,스페인,유럽,209,1302,1511
474,2021-08,아랍에미리트,아시아,25,411,436
475,2021-08,이스라엘,아시아,25,442,467
476,2021-08,이탈리아,유럽,136,572,708
477,2021-08,인도네시아,아시아,141,1244,1385
478,2021-08,일본,아시아,7014,28073,35087
479,2021-08,조지아,유럽,38,306,344
480,2021-08,중국,아시아,178,519,697
481,2021-08,캐나다,아메리카,72,219,291
482,2021-08,케냐,아프리카,26,558,584
483,2021-08,쿠바,아메리카,49,1110,1159
484,2021-08,태국,아시아,2529,10879,13408
485,2021-08,터키,유럽,1163,9238,10401
486,2021-08,프랑스,유럽,194,1340,1534
487,2021-09,대만,아시아,2927,13121,16048
488,2021-09,몰타,유럽,56,3929,3985
489,2021-09,미국,아메리카,8768,43693,52461
490,2021-09,미국,오세아니아,13596,73792,87388
491,2021-09,베트남,아시아,1110,5470,6580
492,2021-09,스위스,유럽,2587,9272,11859
493,2021-09,스페인,유럽,2381,11716,14097
494,2021-09,아랍에미리트,아시아,48,357,405
495,2021-09,오스트리아,유럽,20,859,879
496,2021-09,이탈리아,유럽,628,2438,3066
497,2021-09,인도네시아,아시아,1467,10156,11623
498,2021-09,일본,아시아,10450,44860,55310
499,2021-09,조지아,유럽,28,417,445
500,2021-09,태국,아시아,4397,20433,24830
501,2021-09,터키,유럽,154,1189,1343
502,2021-09,팔라우,오세아니아,31,564,595
503,2021-09,프랑스,유럽,180,689,869
504,2021-10,대만,아시아,1766,9974,11740
505,2021-10,미국,아메리카,11302,57549,68851
506,2021-10,미국,오세아니아,18799,92335,111134
507,2021-10,베트남,아시아,4422,22548,26970
508,2021-10,스위스,유럽,1375,6540,7915
509,2021-10,스페인,유럽,4981,26032,31013
510,2021-10,싱가포르,아시아,8081,47547,55628
511,2021-10,인도네시아,아시아,1675,10348,12023
512,2021-10,일본,아시아,24644,101236,125880
513,2021-10,태국,아시아,11900,58729,70629
514,2021-10,터키,유럽,2521,17288,19809
515,2021-11,대만,아시아,2297,10552,12849
516,2021-11,미국,아메리카,11684,54699,66383
517,2021-11,미국,오세아니아,15391,59552,74943
518,2021-11,베트남,아시아,6999,34920,41919
519,2021-11,스위스,유럽,2838,13460,16298
520,2021-11,스페인,유럽,5423,26237,31660
521,2021-11,싱가포르,아시아,7994,40620,48614
522,2021-11,일본,아시아,34836,132378,167214
523,2021-11,태국,아시아,14257,60687,74944
524,2021-11,터키,유럽,6613,40655,47268
525,2021-11,프랑스,유럽,137,555,692
526,2021-11,호주,오세아니아,217,679,896
527,2021-12,대만,아시아,1345,7086,8431
528,2021-12,러시아,아시아,46,448,494
529,2021-12,미국,아메리카,7341,35131,42472
530,2021-12,미국,오세아니아,3805,13876,17681
531,2021-12,베트남,아시아,4336,21951,26287
532,2021-12,스위스,유럽,1222,7013,8235
533,2021-12,스페인,유럽,1717,9132,10849
534,2021-12,싱가포르,아시아,4667,24485,29152
535,2021-12,아랍에미리트,아시아,169,2714,2883
536,2021-12,일본,아시아,12248,66695,78943
537,2021-12,태국,아시아,6002,28791,34793
538,2021-12,터키,유럽,4911,23109,28020
539,2021-12,프랑스,유럽,758,3694,4452
540,2021-12,호주,오세아니아,269,1236,1505
541,2022-01,대만,아시아,421,1889,2310
542,2022-01,라오스,아시아,65,1089,1154
543,2022-01,미국,아메리카,5120,25861,30981
544,2022-01,미국,오세아니아,6455,28502,34957
545,2022-01,베트남,아시아,3672,20713,24385
546,2022-01,스위스,유럽,1801,12289,14090
547,2022-01,스페인,유럽,446,3921,4367
548,2022-01,싱가포르,아시아,3324,19482,22806
549,2022-01,아랍에미리트,아시아,823,17942,18765
550,2022-01,일본,아시아,11350,66321,77671
551,2022-01,태국,아시아,4574,21718,26292
552,2022-01,터키,유럽,3985,20312,24297
553,2022-01,필리핀,아시아,191,1443,1634
554,2022-02,대만,아시아,629,2789,3418
555,2022-02,라오스,아시아,38,1039,1077
556,2022-02,러시아,유럽,466,2575,3041
557,2022-02,미국,아메리카,4420,23552,27972
558,2022-02,미국,오세아니아,7151,36991,44142
559,2022-02,베트남,아시아,5263,28609,33872
560,2022-02,스위스,유럽,2433,13855,16288
561,2022-02,스페인,유럽,860,5546,6406
562,2022-02,싱가포르,아시아,3769,21333,25102
563,2022-02,아랍에미리트,아시아,286,6396,6682
564,2022-02,이탈리아,유럽,199,2579,2778
565,2022-02,일본,아시아,14224,70366,84590
566,2022-02,조지아,유럽,156,3109,3265
567,2022-02,태국,아시아,5030,25618,30648
568,2022-02,터키,유럽,3286,18629,21915
569,2022-02,팔라우,오세아니아,44,1373,1417
570,2022-02,필리핀,아시아,1329,6173,7502
571,2022-02,호주,오세아니아,163,529,692
572,2022-03,대만,아시아,1352,7016,8368
573,2022-03,미국,아메리카,9679,55621,65300
574,2022-03,미국,오세아니아,18395,89179,107574
575,2022-03,베트남,아시아,12129,65411,77540
576,2022-03,스위스,유럽,3865,19130,22995
577,2022-03,스페인,유럽,949,5603,6552
578,2022-03,싱가포르,아시아,7228,42377,49605
579,2022-03,아랍에미리트,아시아,0,1791,1791
580,2022-03,인도네시아,아시아,5618,28258,33876
581,2022-03,일본,아시아,41041,167809,208850
582,2022-03,태국,아시아,10258,50665,60923
583,2022-03,터키,유럽,6034,33567,39601
584,2022-04,대만,아시아,5662,28677,34339
585,2022-04,미국,아메리카,12441,70478,82919
586,2022-04,미국,오세아니아,21358,86579,107937
