ds,yhat
2021-01-24,9671.46851420376
2021-01-25,9761.424897196252
2021-01-26,6693.079003268283
2021-01-27,4896.300417415028
2021-01-28,2608.7826463210413
2021-01-29,-98.93666631564793
2021-01-30,-161.49873961359754
2021-01-31,6890.980851952554
2021-02-01,7311.611816985951
2021-02-02,4590.988418523062
2021-02-03,3149.5959157650723
2021-02-04,1215.8624534900473
2021-02-05,-1148.5783197624442
2021-02-06,-886.6807759945068
2021-02-07,6463.9274473214355
2021-02-08,7149.830386453684
2021-02-09,4656.238402019801
2021-02-10,3399.515987245302
2021-02-11,1605.3179174006546
2021-02-12,-666.1028308999266
2021-02-13,-357.68393340469083
2021-02-14,6994.32694461291
2021-02-15,7639.184060714579
2021-02-16,5065.949590546598
2021-02-17,3695.880518639803
2021-02-18,1760.3960396026332
2021-02-19,-673.8060573110715
2021-02-20,-542.7459494292743
2021-02-21,6624.499672767486
2021-02-22,7084.386914558833
2021-02-23,4332.990461348386
2021-02-24,2798.1792628013645
2021-02-25,717.3878671322368
2021-02-26,-1837.4424829886275
2021-02-27,-1798.009941283608
2021-02-28,5309.889803187521
2021-03-01,5744.8664387015415
2021-03-02,3003.969862923504
2021-03-03,1514.8515361419677
2021-03-04,-486.44181644303717
2021-03-05,-2930.469058385498
2021-03-06,-2752.449075272374
2021-03-07,4517.403286510793
2021-03-08,5132.528916825653
2021-03-09,2584.229916090519
2021-03-10,1294.0180963464832
2021-03-11,-508.3934742496149
2021-03-12,-2759.888884606714
2021-03-13,-2401.8029709857647
2021-03-14,5029.935880667244
2021-03-15,5783.637021622716
2021-03-16,3346.213661705018
2021-03-17,2135.6682815409163
2021-03-18,379.1933045688347
2021-03-19,-1861.5491573525069
2021-03-20,-1528.2359337274938
2021-03-21,5843.984952665205
2021-03-22,6505.301551677574
2021-03-23,3945.546403404426
2021-03-24,2586.59247240036
2021-03-25,660.3354322253126
2021-03-26,-1766.1701532172565
2021-03-27,-1628.6837186452703
2021-03-28,5543.909190836948
2021-03-29,6008.214274219159
2021-03-30,3260.442762610518
2021-03-31,1728.6149471260564
2021-04-01,-349.6423534406731
2021-04-02,-2902.1312237139437
2021-04-03,-2860.2087562467295
2021-04-04,4250.770631998428
2021-04-05,4689.969256038111
2021-04-06,1955.107121250442
2021-04-07,474.6242260243598
2021-04-08,-1514.5299438630018
2021-04-09,-3941.906441334085
2021-04-10,-3741.6250753217755
2021-04-11,3557.271752130856
2021-04-12,4209.449351218474
2021-04-13,1707.4620524232887
2021-04-14,474.0755591103516
2021-04-15,-1259.768803778581
2021-04-16,-3429.7800959344213
2021-04-17,-2976.198406487404
2021-04-18,4566.043713251256
2021-04-19,5446.107599816498
2021-04-20,3151.6149084467565
2021-04-21,2101.1081958780155
2021-04-22,522.1374876150389
2021-04-23,-1523.4701734043592
2021-04-24,-977.4255095880726
2021-04-25,6624.888628914334
2021-04-26,7533.226327655295
2021-04-27,5236.792472372799
2021-04-28,4156.647411631697
2021-04-29,2523.700789636405
2021-04-30,403.86156207123804
2021-05-01,860.0806446221482
2021-05-02,8362.055431754514
2021-05-03,9164.864264547592
2021-05-04,6763.097727000095
2021-05-05,5583.07853556213
2021-05-06,3860.6742476333943
2021-05-07,1666.275561109273
2021-05-08,2066.682142015225
2021-05-09,9534.670263305921
2021-05-10,10327.514780039368
2021-05-11,7941.036028481421
2021-05-12,6801.766266833101
2021-05-13,5144.741789010773
2021-05-14,3038.4943796246334
2021-05-15,3546.983900769398
2021-05-16,11139.245104011396
2021-05-17,12068.018991010282
2021-05-18,9823.936157927474
2021-05-19,8827.842729664364
2021-05-20,7308.770261864357
2021-05-21,5329.1179244316145
2021-05-22,5946.782960593111
2021-05-23,13625.006451763618
2021-05-24,14611.1985619619
2021-05-25,12391.30465078222
2021-05-26,11382.297098425497
2021-05-27,9810.288922376658
2021-05-28,7735.832826272322
2021-05-29,8216.137774298406
2021-05-30,15714.967115741068
2021-05-31,16481.480420636493
2021-06-01,14004.579462793025
2021-06-02,12705.343338183984
2021-06-03,10815.050043387491
2021-06-04,8400.350471132779
2021-06-05,8525.330243153905
2021-06-06,15661.227649772054
2021-06-07,16065.074900504727
2021-06-08,13233.82881828371
2021-06-09,11596.582151611425
2021-06-10,9392.359322882423
2021-06-11,6695.069182003291
2021-06-12,6575.356719824727
2021-06-13,13510.128273448934
2021-06-14,13761.0232313089
2021-06-15,10828.403540566775
2021-06-16,9143.456570271008
2021-06-17,6945.918602561051
2021-06-18,4308.993941522813
2021-06-19,4301.212903902513
2021-06-20,11396.003375862843
2021-06-21,11850.247927435084
2021-06-22,9158.395624637926
2021-06-23,7819.293123145408
2021-06-24,5990.376646466661
2021-06-25,3736.5175338548706
2021-06-26,4117.535917149027
2021-06-27,11598.012183826453
2021-06-28,12426.089107539461
2021-06-29,10087.826771687554
